branch,cgpa,interest_domain,favorite_subject,technical_skills,projects_count,certifications_count,internship_experience,aptitude_score,logical_score,analytical_score,creativity_score,communication_score,coding_score,preferred_work_style,recommended_career
CSE,9.0,Data,Statistics,"Excel,ML,Pandas,Python,SQL,Statistics",4,3,No,75,70,95,68,84,77,Management,Data Scientist
IT,7.7,Security,OS,"Linux,Networking,OWASP,SIEM",2,3,No,58,65,62,59,61,71,Coding,Cybersecurity Analyst
Civil,8.2,Web,Web Technology,"CSS,Git,HTML,JavaScript,React",0,1,No,86,91,80,99,75,99,Management,Frontend Developer
Civil,6.5,Design,UI Basics,"Figma,Prototyping,Research",4,3,No,57,58,67,83,55,54,Management,UI/UX Designer
Civil,9.2,Business,Economics,"Agile,Documentation,Excel,SQL,Statistics",2,1,No,86,82,85,70,84,91,Analytical,Business Analyst
CSE,9.1,Data,DBMS,"Linux,ML,Python,SQL,Statistics",1,0,No,78,88,91,69,68,99,Creative,Data Scientist
ECE,7.4,Cloud,Cloud Computing,"CI/CD,Docker,Git,Linux",4,0,Yes,74,65,65,77,64,64,Coding,DevOps Engineer
EEE,6.2,Data,ML,"ML,Pandas,Python,SQL,Statistics",0,3,No,66,60,74,61,80,68,Coding,Data Scientist
CSE,9.0,Data,DBMS,"Excel,Pandas,SQL,Tableau",4,1,No,76,71,92,85,91,90,Analytical,Data Analyst
CSE,6.5,Cloud,Computer Networks,"AWS,Docker,Networking,Terraform",1,0,No,81,87,83,90,85,76,Management,Cloud Engineer
Mechanical,8.9,Web,Computer Networks,"CSS,Communication,Git,HTML,JavaScript,Node,React,SQL",4,1,No,64,68,57,57,75,76,Analytical,Full Stack Developer
Civil,7.1,AI,Python,"Deep Learning,Docker,ML,Python,SQL",5,1,No,88,93,92,76,86,99,Analytical,Machine Learning Engineer
Civil,7.0,Web,JavaScript,"Excel,Git,Linux,Python,REST,SQL",5,1,No,62,56,67,58,67,56,Coding,Backend Developer
ECE,8.2,Cloud,Cloud Computing,"CI/CD,Docker,Git,Kubernetes,Linux",4,3,No,67,74,64,80,67,73,Coding,DevOps Engineer
EEE,7.6,Web,Web Technology,"Docker,Git,Linux,Python,REST,SQL",4,0,Yes,64,68,57,49,70,56,Coding,Backend Developer
ECE,9.5,Web,JavaScript,"Git,Linux,Python,REST,SQL,Statistics",2,0,Yes,93,90,99,99,99,99,Coding,Backend Developer
Mechanical,8.1,Data,DBMS,"ML,Pandas,Python,SQL,Statistics",0,2,No,81,79,82,87,86,88,Management,Data Scientist
Civil,8.4,Data,Statistics,"Docker,ML,Pandas,Python,SQL,Statistics",2,2,No,93,98,99,80,84,99,Analytical,Data Scientist
Civil,7.6,Mobile,Kotlin,"Android,Git,Kotlin,REST",0,2,No,85,94,94,73,93,87,Coding,Android Developer
IT,7.9,AI,Python,"Deep Learning,Docker,ML,Python,SQL",3,0,No,56,47,58,59,42,48,Creative,Machine Learning Engineer
EEE,8.7,Web,Computer Networks,"CSS,Communication,Git,HTML,JavaScript,Node,React,SQL",3,3,No,63,57,75,80,68,71,Analytical,Full Stack Developer
EEE,8.8,Cloud,Cloud Computing,"CI/CD,Docker,Excel,Git,Kubernetes,Linux",2,0,Yes,65,74,60,80,72,79,Analytical,DevOps Engineer
EEE,8.3,Data,Data Mining,"Excel,Pandas,Python,SQL,Tableau",0,0,No,68,66,84,86,68,76,Creative,Data Analyst
CSE,8.0,Cloud,OS,"AWS,Docker,Linux,Networking,Terraform",5,0,No,88,94,99,87,87,94,Creative,Cloud Engineer
Civil,6.6,Web,Computer Networks,"API testing,Git,SQL,Selenium,Testing",0,1,Yes,90,81,85,99,83,90,Coding,QA/Test Engineer
CSE,9.5,Data,ML,"Excel,Pandas,Python,SQL,Tableau",1,3,Yes,61,55,59,63,57,85,Coding,Data Analyst
Mechanical,7.0,Web,JavaScript,"Git,Linux,Python,REST,SQL",2,1,No,85,93,76,82,82,93,Coding,Backend Developer
Civil,8.3,AI,ML,"Deep Learning,Docker,Git,ML,Python,SQL",2,3,No,76,84,83,77,83,84,Analytical,Machine Learning Engineer
IT,9.1,Design,HCI,"Figma,Prototyping,Research,Wireframes",5,3,No,88,80,95,99,74,89,Analytical,UI/UX Designer
IT,9.3,Business,Economics,"Agile,Documentation,SQL",0,2,No,66,62,54,73,82,66,Creative,Business Analyst
Civil,9.4,Web,Web Technology,"Git,Linux,Python,REST,SQL",3,0,No,83,75,73,70,78,92,Analytical,Backend Developer
ECE,8.5,Design,UI Basics,"Figma,Prototyping,Research,Wireframes",3,2,No,81,79,74,82,93,71,Analytical,UI/UX Designer
Mechanical,9.0,Data,DBMS,"ML,Pandas,SQL,Statistics",5,3,No,88,79,99,71,78,87,Analytical,Data Scientist
IT,8.1,Mobile,Mobile Computing,"Android,Git,Kotlin,REST",5,3,Yes,90,92,86,88,87,99,Analytical,Android Developer
Mechanical,7.7,Web,Web Technology,"Git,Linux,Python,REST,SQL",5,2,No,56,54,46,52,71,67,Creative,Backend Developer
ECE,7.6,AI,Python,"Deep Learning,Docker,Excel,ML,Python,SQL",0,3,Yes,82,90,78,99,75,76,Analytical,Machine Learning Engineer
Civil,8.8,Cloud,Cloud Computing,"AWS,Docker,Networking,Terraform",2,3,No,67,70,61,69,61,75,Coding,Cloud Engineer
Mechanical,7.4,AI,Deep Learning,"Deep Learning,Docker,ML,Python,SQL",4,0,No,83,79,76,79,70,89,Coding,Machine Learning Engineer
EEE,7.5,AI,Python,"Deep Learning,Docker,Linux,ML,Python",2,1,No,69,65,77,74,78,77,Analytical,Machine Learning Engineer
EEE,9.0,Mobile,Kotlin,"Android,Docker,Git,Kotlin,REST",2,0,Yes,62,52,52,51,62,72,Analytical,Android Developer
EEE,6.7,Design,UI Basics,"Figma,Prototyping,Research,Wireframes",4,2,No,81,75,89,88,69,74,Creative,UI/UX Designer
Civil,9.2,Mobile,Mobile Computing,"Android,Kotlin,REST",0,3,Yes,72,77,62,75,57,80,Analytical,Android Developer
Civil,6.0,Data,ML,"ML,Pandas,Python,SQL,Statistics",1,3,No,79,76,92,95,76,82,Management,Data Scientist
ECE,6.2,Web,Web Technology,"CSS,Git,JavaScript,Node,React,SQL",2,0,No,87,81,89,99,80,99,Creative,Full Stack Developer
Mechanical,9.4,Web,JavaScript,"Git,Linux,Python,REST,SQL",3,0,No,55,47,66,46,53,72,Analytical,Backend Developer
IT,7.0,Web,JavaScript,"Git,Linux,Python,REST,SQL",1,1,No,59,61,51,42,46,72,Analytical,Backend Developer
EEE,6.8,Mobile,Kotlin,"Android,Git,Kotlin,REST",2,0,Yes,68,61,69,69,77,77,Management,Android Developer
